2024-05-22 05:16:21 - SQL Query: UPDATE workers SET firstname=:fname, lastname=:lname, email=:email, phone=:phone, account_type=:accounttype WHERE id=:id
2024-05-22 05:16:57 - SQL Query: UPDATE workers SET firstname=:fname, lastname=:lname, email=:email, phone=:phone, account_type=:accounttype WHERE id=:id
2024-05-22 05:20:00 - SQL Query: UPDATE workers SET firstname=:fname, lastname=:lname, email=:email, phone=:phone, account_type=:accounttype WHERE id=:id
2024-05-22 05:20:36 - SQL Query: UPDATE workers SET firstname=:fname, lastname=:lname, email=:email, phone=:phone, account_type=:accounttype WHERE id=:id
2024-05-22 05:23:42 - SQL Query: UPDATE workers SET firstname=:fname, lastname=:lname, email=:email, phone=:phone, account_type=:accounttype WHERE id=:id
2024-05-22 05:24:43 - SQL Query: UPDATE workers SET firstname=:fname, lastname=:lname, email=:email, phone=:phone, account_type=:accounttype WHERE id=:id
2024-05-22 05:25:18 - SQL Query: UPDATE workers SET firstname=:fname, lastname=:lname, email=:email, phone=:phone, account_type=:accounttype WHERE id=:id
2024-05-22 05:26:25 - SQL Query: UPDATE workers SET firstname=:fname, lastname=:lname, email=:email, phone=:phone, account_type=:accounttype WHERE id=:id
2024-05-22 05:26:45 - SQL Query: UPDATE workers SET firstname=:fname, lastname=:lname, email=:email, phone=:phone, account_type=:accounttype WHERE id=:id
2024-05-22 05:27:16 - SQL Query: UPDATE workers SET firstname=:fname, lastname=:lname, email=:email, phone=:phone, account_type=:accounttype WHERE id=:id
2024-05-22 05:29:01 - SQL Query: UPDATE workers SET firstname=:fname, lastname=:lname, email=:email, phone=:phone, account_type=:accounttype WHERE id=:id
2024-05-22 05:29:24 - SQL Query: UPDATE workers SET firstname=:fname, lastname=:lname, email=:email, phone=:phone, account_type=:accounttype WHERE id=:id
2024-05-22 05:29:25 - SQL Query: UPDATE workers SET firstname=:fname, lastname=:lname, email=:email, phone=:phone, account_type=:accounttype WHERE id=:id
2024-05-22 05:30:56 - SQL Query: UPDATE workers SET firstname=:fname, lastname=:lname, email=:email, phone=:phone, account_type=:accounttype WHERE id=:id
2024-05-22 05:32:56 - SQL Query: UPDATE workers SET firstname=:fname, lastname=:lname, email=:email, phone=:phone, account_type=:accounttype WHERE id=:id
2024-05-22 05:35:10 - SQL Query: UPDATE workers SET firstname=:fname, lastname=:lname, email=:email, phone=:phone, account_type=:accounttype WHERE id=:id
2024-05-22 05:37:23 - SQL Query: UPDATE workers SET firstname=:fname, lastname=:lname, email=:email, phone=:phone, account_type=:accounttype WHERE id=:id
